	label	inflorescence	taille	forme 	couleur	motif	nombre_serie	longueur_filet	syndrome
Passiflora_pohlii_HQ900883	Passiflora_pohlii_HQ900883	0	0	0	0	0	0	1	3
Passiflora_porophylla_DQ123319	Passiflora_porophylla_DQ123319	0	0	0	1	1	0	0	0
Passiflora_porophylla_KM652379	Passiflora_porophylla_KM652379	0	0	0	1	1	0	0	0
Passiflora_princeps_DQ123311	Passiflora_princeps_DQ123311	1	1	0	2	1	0	0	0
Passiflora_punctata_DQ123322	Passiflora_punctata_DQ123322	0	0	0	0	1	0	0	0
Passiflora_quadrangularis_KU645801	Passiflora_quadrangularis_KU645801	0	1	0	2	1	0	1	0
Passiflora_quadraticordata_ON002524	Passiflora_quadraticordata_ON002524	?	0	0	0	1	0	1	0
Passiflora_quadriglandulosa_KM652390	Passiflora_quadriglandulosa_KM652390	0	1	0	2	0	0	0	1
Passiflora_recurva_DQ123367	Passiflora_recurva_DQ123367	0	0	0	0	0	0	1	3
Passiflora_reflexiflora_DQ123386	Passiflora_reflexiflora_DQ123386	?	1	1	2	0	0	0	2
Passiflora_rhamnifolia_DQ123299	Passiflora_rhamnifolia_DQ123299	0	0	0	0	1	0	0	0
Passiflora_rhamnifolia_KM652395	Passiflora_rhamnifolia_KM652395	0	0	0	0	1	0	0	0
Passiflora_riparia_DQ123368	Passiflora_riparia_DQ123368	0	1	0	1	1	0	1	0
Passiflora_rufa_DQ123323	Passiflora_rufa_DQ123323	1	0	0	0	1	0	1	0
Passiflora_sexflora_OP710465 	Passiflora_sexflora_OP710465 	1	0	0	0	1	0	1	0
Passiflora_sanguinolenta_KM652381	Passiflora_sanguinolenta_KM652381	?	0	1	2	1	0	0	2
Passiflora_serratifolia_DQ123369	Passiflora_serratifolia_DQ123369	0	0	0	1	1	0	1	0
Passiflora_serratodigitata_DQ123370	Passiflora_serratodigitata_DQ123370	0	1	0	1	1	0	1	0
Passiflora_setacea_DQ123371	Passiflora_setacea_DQ123371	0	1	0	0	0	0	0	3
Passiflora_setulosa_DQ123340	Passiflora_setulosa_DQ123340	0	0	0	0	0	0	1	3
Passiflora_sexflora_DQ123324	Passiflora_sexflora_DQ123324	1	0	0	0	1	0	1	0
Passiflora_siamica_MG920787	Passiflora_siamica_MG920787	1	0	0	0	0	0	1	3
Passiflora_sidifolia_HQ900886	Passiflora_sidifolia_HQ900886	0	1	0	1	1	0	1	0
Passiflora_speciosa_DQ123334	Passiflora_speciosa_DQ123334	0	1	0	2	0	0	0	1
Passiflora_sprucei_DQ123373	Passiflora_sprucei_DQ123373	?	0	0	1	1	1	1	0
Passiflora_suberosa_DQ123325	Passiflora_suberosa_DQ123325	0	0	0	0	1	0	1	0
Passiflora_subpeltata_ON951105	Passiflora_subpeltata_ON951105	0	0	0	0	0	0	1	3
Passiflora_subrotunda_HQ900889	Passiflora_subrotunda_HQ900889	0	0	0	1	0	0	1	1
Passiflora_tacsonioides_DQ123379	Passiflora_tacsonioides_DQ123379	0	0	0	2	0	0	0	1
Passiflora_talamancensis_DQ123326	Passiflora_talamancensis_DQ123326	0	0	0	0	1	0	0	0
Passiflora_tarminiana_OP711145	Passiflora_tarminiana_OP711145	?	1	1	2	0	0	0	2
